epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
61,12179.8,2.43303,1.32046,0.83973,0.66564,0.47641,0.52609,0.21309,2.24285,1.15967,0.83268,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,12371.8,2.42013,1.31674,0.84054,0.66754,0.47283,0.52684,0.21324,2.2382,1.16633,0.83151,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,12564.5,2.39031,1.2998,0.84469,0.66498,0.47985,0.52855,0.21293,2.23482,1.15442,0.83203,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,12756.9,2.41834,1.31626,0.83976,0.67187,0.47978,0.52969,0.2139,2.22744,1.15206,0.83079,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,12950.2,2.39504,1.29671,0.83909,0.66657,0.47914,0.52973,0.21546,2.2271,1.15029,0.83096,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,13143,2.39369,1.30093,0.84263,0.67071,0.47927,0.53169,0.21699,2.22219,1.14584,0.82932,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,13335.8,2.39922,1.30121,0.84076,0.66291,0.48593,0.53322,0.21669,2.22805,1.15102,0.8299,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,13528.8,2.38017,1.28724,0.84093,0.66579,0.48808,0.53507,0.21825,2.21985,1.14708,0.82924,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,13721.6,2.37041,1.28017,0.84125,0.67447,0.4908,0.53625,0.21797,2.22245,1.14179,0.82911,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,13914.6,2.37849,1.29106,0.83903,0.68048,0.48375,0.53724,0.21869,2.21938,1.13861,0.82835,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,14107.1,2.3809,1.27921,0.83841,0.66895,0.48951,0.53803,0.22022,2.20956,1.13418,0.82771,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,14299.2,2.38173,1.28447,0.8367,0.66598,0.49066,0.53786,0.22053,2.20394,1.13136,0.82787,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,14491.7,2.35916,1.26777,0.84001,0.6719,0.48715,0.53657,0.22001,2.21178,1.13756,0.82831,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,14684.4,2.36358,1.27615,0.83696,0.6694,0.48507,0.53558,0.22006,2.20591,1.1347,0.82782,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,14876.8,2.35018,1.26195,0.83682,0.6794,0.48561,0.53719,0.22067,2.20902,1.13335,0.8276,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,15070,2.34925,1.25661,0.84046,0.68713,0.48586,0.53912,0.22094,2.21118,1.13062,0.8276,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,15263.1,2.35725,1.26193,0.83623,0.67836,0.49073,0.54214,0.22227,2.20332,1.12676,0.82689,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,15456,2.3689,1.26493,0.83023,0.68791,0.49066,0.54426,0.22321,2.20017,1.12598,0.82605,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,15648.4,2.33753,1.25352,0.83556,0.68522,0.49445,0.5454,0.22286,2.20363,1.12973,0.82609,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,15843.8,2.34832,1.24668,0.83406,0.68513,0.49331,0.54526,0.22376,2.19878,1.12996,0.82645,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,16038.9,2.36627,1.26395,0.83419,0.68538,0.4913,0.54591,0.2239,2.19472,1.12408,0.82547,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,16232.5,2.33239,1.2415,0.83392,0.6887,0.48622,0.54587,0.2242,2.19138,1.1221,0.82528,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,16425.5,2.331,1.24376,0.83206,0.68882,0.48858,0.54684,0.22482,2.19033,1.12139,0.82571,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
